time_ms,iso,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,AVANCE_APPLIQUEE_CYL_2,AVANCE_APPLIQUEE_CYL_3,AVANCE_APPLIQUEE_CYL_4,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC
1789040162390,2026-09-10T15:36:02.390,747.0,14.200000000000001,76.0,2.48,2.48,2.48,2.48,0.0,1.0,136.0,0.0,0.0,107.0,83.5,92.0,0.11092952,0.11092952,16.0,0.999,23.0,16.0,16.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,8.200000000000001,315.0,336.0,2.0,2.0,590.0,4400.0,0.0,0.0,0.0,1.0,19513.0,8.1,1.0,0.0,-28.0625,-1.3125,-1.0625,29.125,-28.0625,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,39.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1292.0,0.0,255.0,854.0,355.0
1789040162899,2026-09-10T15:36:02.899,745.0,14.3,76.0,2.49,2.49,2.49,2.49,1.0,1.0,722.0,1.0,0.0,678.0,83.5,92.5,0.07080334999999999,0.07080334999999999,15.0,0.999,23.0,16.0,16.0,-17.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.5,1.0,0.0,-28.0625,-1.3125,-1.0625,29.125,-28.0625,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,39.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1292.0,0.0,255.0,854.0,355.0
1789040163530,2026-09-10T15:36:03.531,756.0,14.0,76.0,2.49,2.49,2.49,2.49,0.0,1.0,205.0,1.0,0.0,629.0,84.0,93.0,0.08393457999999998,0.08393457999999998,15.0,0.999,24.0,16.0,16.0,-15.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.4,336.0,336.0,2.0,2.0,600.0,4380.0,0.0,0.0,0.0,1.0,19513.0,8.3,0.0,0.0,-28.375,0.25,-1.0,29.4375,-28.375,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,41.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1292.0,0.0,255.0,854.0,355.0
1789040164145,2026-09-10T15:36:04.146,757.0,14.100000000000001,76.0,2.49,2.49,2.49,2.49,0.0,1.0,97.0,0.0,0.0,97.0,84.5,93.5,0.09016066,0.09016066,14.0,0.999,24.0,16.0,16.0,-15.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,8.4,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,1.0,0.0,-28.375,0.25,-1.0,29.4375,-28.375,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,40.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1104.0,0.0,255.0,854.0,342.0
1789040164773,2026-09-10T15:36:04.774,753.0,14.200000000000001,76.0,2.44,2.44,2.44,2.44,1.0,1.0,532.0,0.0,0.0,166.0,83.5,92.5,0.07469464999999997,0.07469464999999997,14.0,0.999,25.0,16.0,16.0,-15.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.4,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.1,1.0,0.0,-28.3125,-0.8125,-2.3125,29.375,-28.3125,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,38.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1104.0,0.0,255.0,854.0,342.0
1789040165311,2026-09-10T15:36:05.312,749.0,14.200000000000001,76.0,2.49,2.49,2.49,2.49,0.0,1.0,126.0,0.0,0.0,107.0,84.5,93.5,0.09210630999999997,0.09210630999999997,13.0,0.999,25.0,16.0,16.0,-15.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,40.0,21.0,21.0,8.3,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,0.0,0.0,-28.3125,-0.8125,-2.3125,29.375,-28.3125,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,37.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1104.0,0.0,255.0,854.0,342.0
1789040166064,2026-09-10T15:36:06.064,752.0,14.200000000000001,76.0,2.48,2.48,2.48,2.48,1.0,1.0,649.0,0.0,0.0,317.0,84.0,92.5,0.07625116999999998,0.07625116999999998,13.0,0.999,26.0,15.0,15.0,-16.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,0.0,0.0,-28.9375,-2.4375,-2.5,30.0,-28.9375,750.0,13.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,38.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1302.0,0.0,255.0,854.0,344.0
1789040166574,2026-09-10T15:36:06.574,749.0,14.200000000000001,76.0,2.49,2.49,2.49,2.49,1.0,1.0,668.0,1.0,0.0,654.0,83.5,91.5,0.06924682999999998,0.06924682999999998,13.0,0.999,26.0,16.0,16.0,-17.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.200000000000001,1.0,0.0,-28.9375,-2.4375,-2.5,30.0,-28.9375,750.0,14.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,36.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1302.0,0.0,255.0,854.0,344.0
1789040167264,2026-09-10T15:36:07.265,758.0,14.200000000000001,76.0,2.5300000000000002,2.5300000000000002,2.5300000000000002,2.5300000000000002,0.0,1.0,317.0,0.0,0.0,146.0,85.0,93.5,0.08704761999999999,0.08704761999999999,12.0,0.999,25.0,16.0,16.0,-16.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.4,336.0,336.0,2.0,2.0,600.0,4380.0,0.0,0.0,0.0,1.0,19513.0,8.200000000000001,0.0,0.0,-28.3125,-2.5625,-1.625,29.375,-28.3125,750.0,14.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,38.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1302.0,0.0,255.0,854.0,344.0
1789040167895,2026-09-10T15:36:07.895,752.0,14.200000000000001,76.0,2.52,2.52,2.52,2.52,1.0,1.0,688.0,1.0,0.0,703.0,83.5,91.5,0.06457726999999996,0.06457726999999996,12.0,0.999,25.0,15.0,15.0,-16.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,40.0,19.0,21.0,8.4,315.0,336.0,2.0,2.0,590.0,4400.0,0.0,0.0,0.0,1.0,19513.0,7.7,0.0,0.0,-28.3125,-2.5625,-1.625,29.375,-28.3125,750.0,14.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,39.0,8495.0,86.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.1000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1235.0,0.0,255.0,854.0,342.0
