time_ms,iso,ETAT_VERROUILLAGE_DEVERROUILLAGE_CALCULTATEUR,ETAT_PROGRAMMATION_ANTI_DEMARRAGE,PB_TRANSMISSION_CODE_DEVERROUILLAGE,OPTION_APPAIRAGE_CHOISIE,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,AVANCE_APPLIQUEE_CYL_2,AVANCE_APPLIQUEE_CYL_3,AVANCE_APPLIQUEE_CYL_4,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC,ZAPVNUMBER,SIGNATURE,DATE,MILEAGE,ERASETYPE,NUMBERINTERVENTION
1788689370714,2026-09-06T14:09:30.714,0.0,4.0,0.0,1.0,768.0,14.200000000000001,65.0,3.18,3.18,3.18,3.18,0.0,0.0,415.0,0.0,0.0,444.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,24.0,24.0,9.9,420.0,378.0,3.0,3.0,650.0,4340.0,0.0,0.0,0.0,1.0,19485.0,10.9,0.0,0.0,-29.6875,2.1875,1.75,29.0625,-29.6875,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,26.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1302.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689371217,2026-09-06T14:09:31.217,0.0,4.0,0.0,1.0,758.0,14.100000000000001,65.0,3.2,3.2,3.2,3.2,0.0,0.0,419.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-27.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,51.0,23.0,24.0,10.0,399.0,378.0,3.0,3.0,640.0,4340.0,0.0,0.0,0.0,1.0,19485.0,10.700000000000001,1.0,0.0,-29.625,2.875,1.75,29.0,-29.625,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,26.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,19.0,1231.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689371726,2026-09-06T14:09:31.726,0.0,4.0,0.0,1.0,764.0,14.100000000000001,65.0,3.2,3.2,3.2,3.2,0.0,0.0,419.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-27.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,51.0,24.0,24.0,10.0,420.0,378.0,3.0,3.0,640.0,4340.0,0.0,0.0,0.0,1.0,19485.0,11.200000000000001,0.0,0.0,-29.5625,3.625,0.75,28.9375,-29.5625,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,26.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1129.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689372229,2026-09-06T14:09:32.229,0.0,4.0,0.0,1.0,765.0,14.200000000000001,65.0,3.22,3.22,3.22,3.22,0.0,0.0,424.0,1.0,0.0,463.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-28.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,51.0,24.0,24.0,9.9,399.0,378.0,3.0,3.0,640.0,4330.0,0.0,0.0,0.0,1.0,19485.0,10.700000000000001,0.0,0.0,-29.625,2.875,2.5,29.0,-29.625,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,26.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1267.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689372690,2026-09-06T14:09:32.690,0.0,4.0,0.0,1.0,763.0,14.100000000000001,65.0,3.21,3.21,3.21,3.21,0.0,0.0,424.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-28.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,51.0,23.0,24.0,9.9,399.0,378.0,3.0,3.0,640.0,4330.0,0.0,0.0,0.0,1.0,19485.0,10.600000000000001,0.0,0.0,-29.625,3.625,3.5625,29.0,-29.625,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,26.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1339.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689373115,2026-09-06T14:09:33.115,0.0,4.0,0.0,1.0,762.0,14.100000000000001,65.0,3.21,3.21,3.21,3.21,0.0,0.0,424.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-28.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,51.0,23.0,24.0,10.0,399.0,378.0,3.0,3.0,640.0,4340.0,0.0,0.0,0.0,1.0,19485.0,10.700000000000001,1.0,0.0,-29.625,2.0625,1.3125,29.0,-29.625,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,26.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1300.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689373592,2026-09-06T14:09:33.592,0.0,4.0,0.0,1.0,759.0,14.200000000000001,65.0,3.21,3.21,3.21,3.21,0.0,0.0,419.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-28.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,51.0,23.0,24.0,10.0,399.0,378.0,3.0,3.0,640.0,4320.0,0.0,0.0,0.0,1.0,19485.0,10.600000000000001,1.0,0.0,-29.5,3.625,2.1875,28.875,-29.5,761.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,25.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1235.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689374049,2026-09-06T14:09:34.049,0.0,4.0,0.0,1.0,756.0,14.200000000000001,65.0,3.2,3.2,3.2,3.2,0.0,0.0,429.0,1.0,0.0,449.0,8.0,8.0,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-27.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,51.0,24.0,24.0,9.8,399.0,378.0,3.0,3.0,640.0,4340.0,0.0,0.0,0.0,1.0,19485.0,10.8,0.0,0.0,-29.375,2.125,2.0625,28.75,-29.375,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,25.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1332.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689374638,2026-09-06T14:09:34.638,0.0,4.0,0.0,1.0,763.0,14.100000000000001,65.0,3.15,3.15,3.15,3.15,0.0,0.0,424.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,16.0,1.016,0.0,15.0,15.0,-26.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,51.0,23.0,24.0,9.8,399.0,378.0,3.0,3.0,640.0,4340.0,0.0,0.0,0.0,1.0,19485.0,10.700000000000001,0.0,0.0,-29.625,1.8125,1.75,29.0,-29.625,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,25.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1251.0,0.0,255.0,799.0,308.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788689375132,2026-09-06T14:09:35.132,0.0,4.0,0.0,1.0,766.0,14.100000000000001,65.0,3.13,3.13,3.13,3.13,0.0,0.0,429.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,17.0,1.016,0.0,15.0,15.0,-26.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,51.0,23.0,23.0,9.700000000000001,399.0,378.0,3.0,3.0,640.0,4340.0,0.0,0.0,0.0,1.0,19485.0,10.600000000000001,1.0,0.0,-29.5,0.1875,1.9375,28.875,-29.5,760.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,25.0,7290.0,99.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,19.0,1341.0,0.0,255.0,799.0,309.0,0.0,0.0,1245716.0,3.008,3.0,50.0
