time_ms,iso,ETAT_VERROUILLAGE_DEVERROUILLAGE_CALCULTATEUR,ETAT_PROGRAMMATION_ANTI_DEMARRAGE,PB_TRANSMISSION_CODE_DEVERROUILLAGE,OPTION_APPAIRAGE_CHOISIE,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,AVANCE_APPLIQUEE_CYL_2,AVANCE_APPLIQUEE_CYL_3,AVANCE_APPLIQUEE_CYL_4,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,APP_POS_MINI_PEDALE_1,APP_POS_MINI_PEDALE_2,APP_POS_MAXI_PEDALE_1,APP_POS_MAXI_PEDALE_2,ETAT_APP_BUTEES_PAPILLON_MOTORISE,BESOIN_APPRENTISSAGE_BUTEES_PAPILLON,VALEUR_APP_LIMP_HOME_BPM_SIGNAL_1,VALEUR_APP_LIMP_HOME_BPM_SIGNAL_2,APPRENTISSAGE_BUTE_MINI_PAPILLON_PISTE_01,APPRENTISSAGE_BUTE_MINI_PAPILLON_PISTE_02,ETAT_APP_DEPH_AAC_ADM,VALEUR_APPRENTISSAGE_BUTEE_BASSE_DEPHASEUR_AAC_ADMISSION,STATUS_PREMIER_APP_DEPH_AAC_ADM,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC,ZAPVNUMBER,SIGNATURE,DATE,MILEAGE,ERASETYPE,NUMBERINTERVENTION,DONNES_ADAPT
1788528814823,2026-09-04T17:33:34.823,0.0,4.0,0.0,1.0,754.0,14.200000000000001,88.0,2.17,2.17,2.17,2.17,1.0,1.0,844.0,1.0,0.0,776.0,96.5,89.5,-0.03996899000000001,-0.03996899000000001,21.0,0.999,10.0,21.0,21.0,-9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,7.6000000000000005,315.0,315.0,2.0,2.0,590.0,4400.0,0.0,0.0,0.0,1.0,19476.0,7.800000000000001,1.0,0.0,,,,,,,,,,,,,,-25.75,-2.4375,-3.375,28.4375,-25.75,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1243.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528815369,2026-09-04T17:33:35.369,0.0,4.0,0.0,1.0,756.0,14.200000000000001,88.0,2.13,2.13,2.13,2.13,1.0,1.0,859.0,1.0,0.0,795.0,96.5,89.5,-0.05133006000000001,-0.05133006000000001,21.0,0.999,11.0,21.0,21.0,-9.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,7.6000000000000005,315.0,294.0,2.0,2.0,590.0,4390.0,0.0,0.0,0.0,1.0,19476.0,7.800000000000001,1.0,0.0,,,,,,,,,,,,,,-25.75,-2.25,-3.625,28.4375,-25.75,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1419.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528815850,2026-09-04T17:33:35.850,0.0,4.0,0.0,1.0,748.0,14.100000000000001,88.0,2.08,2.08,2.08,2.08,1.0,1.0,859.0,1.0,0.0,810.0,97.5,90.0,-0.0761123,-0.0761123,22.0,0.999,11.0,21.0,21.0,-8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,7.5,315.0,294.0,2.0,2.0,590.0,4390.0,0.0,0.0,0.0,1.0,19476.0,7.800000000000001,0.0,0.0,,,,,,,,,,,,,,-25.75,-2.9375,-2.375,28.4375,-25.75,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1194.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528816353,2026-09-04T17:33:36.353,0.0,4.0,0.0,1.0,749.0,14.100000000000001,88.0,2.02,2.02,2.02,2.02,1.0,1.0,849.0,1.0,0.0,815.0,97.5,91.0,-0.09735421999999999,-0.09735421999999999,22.0,0.999,11.0,21.0,21.0,-9.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,7.5,315.0,315.0,2.0,2.0,590.0,4380.0,0.0,0.0,0.0,1.0,19476.0,8.0,0.0,0.0,,,,,,,,,,,,,,-25.875,-2.8125,-3.25,28.5625,-25.875,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1214.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528816861,2026-09-04T17:33:36.861,0.0,4.0,0.0,1.0,747.0,14.200000000000001,88.0,1.96,1.96,1.96,1.96,1.0,1.0,825.0,1.0,0.0,815.0,97.0,90.0,-0.11859614000000002,-0.11859614000000002,23.0,0.999,12.0,21.0,21.0,-9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,7.5,315.0,315.0,2.0,2.0,600.0,4400.0,0.0,0.0,0.0,1.0,19476.0,7.800000000000001,1.0,0.0,,,,,,,,,,,,,,-25.875,-1.125,-2.0,28.5625,-25.875,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1222.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528817290,2026-09-04T17:33:37.290,0.0,4.0,0.0,1.0,743.0,14.100000000000001,88.0,1.9100000000000001,1.9100000000000001,1.9100000000000001,1.9100000000000001,1.0,1.0,737.0,1.0,0.0,800.0,97.5,90.5,-0.14160822,-0.14160822,23.0,0.999,12.0,20.0,20.0,-9.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,40.0,19.0,19.0,7.5,336.0,315.0,2.0,2.0,590.0,4390.0,0.0,0.0,0.0,1.0,19476.0,8.200000000000001,1.0,0.0,,,,,,,,,,,,,,-25.8125,-1.4375,-1.5625,28.5,-25.8125,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1368.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528817771,2026-09-04T17:33:37.771,0.0,4.0,0.0,1.0,736.0,14.100000000000001,88.0,1.8900000000000001,1.8900000000000001,1.8900000000000001,1.8900000000000001,1.0,1.0,434.0,1.0,0.0,742.0,97.0,90.0,-0.16107998,-0.16107998,24.0,0.999,12.0,19.0,19.0,-9.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,40.0,20.0,19.0,7.6000000000000005,336.0,315.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19476.0,8.5,0.0,0.0,,,,,,,,,,,,,,-25.8125,-1.375,-1.3125,28.5,-25.8125,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1269.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528818324,2026-09-04T17:33:38.324,0.0,4.0,0.0,1.0,744.0,14.100000000000001,88.0,2.06,2.06,2.06,2.06,0.0,1.0,73.0,0.0,0.0,322.0,97.5,91.0,-0.10601427,-0.10601427,24.0,0.999,12.0,19.0,19.0,-10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,19.0,19.0,7.800000000000001,336.0,315.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19476.0,8.200000000000001,0.0,0.0,,,,,,,,,,,,,,-25.625,-2.5,-2.125,28.25,-25.625,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1244.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528818829,2026-09-04T17:33:38.829,0.0,4.0,0.0,1.0,749.0,14.200000000000001,88.0,2.06,2.06,2.06,2.06,0.0,1.0,405.0,0.0,0.0,151.0,97.5,91.0,-0.10095558000000002,-0.10095558000000002,25.0,0.999,12.0,19.0,19.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,19.0,19.0,7.800000000000001,336.0,315.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19476.0,8.200000000000001,1.0,0.0,,,,,,,,,,,,,,-25.875,-1.25,-1.375,28.5,-25.875,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4970.0,1.0,1.0,0.0,31.0,1285.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528819406,2026-09-04T17:33:39.406,0.0,4.0,0.0,1.0,746.0,14.200000000000001,88.0,1.99,1.99,1.99,1.99,1.0,1.0,737.0,1.0,0.0,693.0,97.5,91.5,-0.12186941000000001,-0.12186941000000001,25.0,0.999,12.0,19.0,19.0,-10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,19.0,19.0,7.800000000000001,336.0,315.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19476.0,8.200000000000001,1.0,0.0,,,,,,,,,,,,,,-25.75,-0.75,-0.8125,28.375,-25.75,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,9.0,117.0,89.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.2,5000.0,4990.0,4970.0,1.0,1.0,0.0,31.0,1346.0,0.0,255.0,848.0,266.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
